Id,Percentage in Operating Systems,Percentage in Algorithms,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Percentage in Mathematics,Communication skills rating,Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,Certifications 1,Certifications 2,reading and writing skills,memory capability score,Interested subjects,interested career area ,Job/Higher Studies?,Type of company want to settle in?,Management or Technical,worked in teams ever?,Introvert,Suggested Job Role
994,79,70,62,93,81,84,68,68,4,5,1,8,1,no,no,no,distro making,hacking,poor,excellent,data engineering,system developer,higherstudies,Product based,Technical,no,yes,Technical Support
995,61,71,80,82,88,91,77,92,7,5,2,4,6,yes,no,no,r programming,data science,medium,excellent,networks,Business process analyst,higherstudies,Product based,Technical,yes,yes,Software Developer
996,63,82,71,83,86,90,91,91,9,4,2,9,3,yes,no,no,shell programming,game development,medium,medium,parallel computing,system developer,higherstudies,BPA,Technical,no,no,Applications Developer
997,60,66,93,88,85,91,66,66,7,6,4,6,4,no,no,no,shell programming,game development,excellent,excellent,Management,system developer,higherstudies,Web Services,Technical,no,yes,Quality Assurance Associate
998,80,74,62,63,91,91,80,87,10,3,4,9,9,no,no,yes,app development,database security,excellent,poor,networks,developer,higherstudies,Finance,Management,yes,yes,Data Architect
999,65,67,62,84,76,88,81,91,11,1,3,3,9,yes,yes,no,app development,data science,medium,poor,programming,cloud computing,higherstudies,Product based,Technical,no,yes,Design & UX
1000,65,86,60,70,66,85,65,91,9,7,6,6,7,yes,yes,no,r programming,hacking,medium,poor,parallel computing,system developer,higherstudies,Cloud Services,Management,yes,yes,Project Manager
1001,67,65,88,83,81,69,60,93,4,4,4,8,1,yes,no,yes,r programming,game development,medium,excellent,programming,testing,job,Product based,Technical,no,yes,Information Technology Manager
1002,81,94,75,77,66,79,79,61,6,8,5,9,9,no,yes,no,app development,system designing,poor,poor,programming,security,job,Testing and Maintainance Services,Management,yes,no,Business Intelligence Analyst
1003,62,63,60,73,70,72,89,91,7,7,1,4,2,yes,no,yes,information security,hacking,medium,medium,Management,Business process analyst,higherstudies,Finance,Management,no,yes,Information Technology Auditor
1004,68,64,74,91,88,77,60,67,4,5,3,7,1,no,no,yes,shell programming,system designing,excellent,medium,cloud computing,security,higherstudies,Sales and Marketing,Technical,no,yes,Applications Developer
1005,63,74,70,84,62,78,89,80,4,9,3,7,6,yes,no,no,hadoop,data science,poor,poor,Computer Architecture,system developer,job,BPA,Technical,yes,yes,Portal Administrator
1006,91,70,65,69,93,88,71,88,6,8,6,5,5,yes,yes,no,information security,web technologies,poor,poor,networks,Business process analyst,higherstudies,Product based,Management,yes,yes,Mobile Applications Developer
1007,88,77,90,79,91,62,66,87,4,3,0,6,1,no,no,no,shell programming,hacking,medium,poor,parallel computing,security,job,product development,Technical,yes,no,Database Developer
1008,65,87,76,69,67,89,69,81,9,1,2,1,2,no,no,yes,machine learning,testing,medium,excellent,programming,developer,job,SAaS services,Management,no,no,Solutions Architect
1009,88,85,84,88,66,86,76,82,12,2,5,2,4,no,yes,no,full stack,system designing,medium,excellent,networks,system developer,higherstudies,Sales and Marketing,Management,yes,yes,Network Security Engineer
1010,76,63,74,76,81,76,87,81,11,8,6,7,3,no,yes,yes,distro making,data science,poor,excellent,networks,system developer,job,Finance,Technical,yes,no,Business Intelligence Analyst
1011,74,94,82,64,92,84,67,80,12,4,5,6,1,no,yes,no,distro making,database security,excellent,poor,hacking,Business process analyst,higherstudies,Finance,Technical,no,no,Information Security Analyst
1012,60,84,70,80,78,64,83,60,7,8,5,6,7,yes,no,no,shell programming,cloud computing,excellent,excellent,Computer Architecture,testing,job,SAaS services,Technical,yes,no,Technical Engineer
1013,91,61,80,88,62,88,76,86,7,9,3,1,3,no,no,yes,machine learning,data science,poor,excellent,networks,security,higherstudies,product development,Management,yes,no,Technical Services/Help Desk/Tech Support
1014,78,85,80,68,81,67,73,72,6,9,0,4,6,no,yes,no,shell programming,system designing,poor,medium,cloud computing,developer,higherstudies,Finance,Management,yes,yes,Mobile Applications Developer
1015,82,63,72,80,67,63,73,71,5,9,4,7,2,no,yes,yes,r programming,testing,poor,medium,Management,developer,job,Finance,Technical,no,yes,Software Engineer
1016,69,72,73,86,90,86,64,65,4,6,2,9,8,yes,no,no,r programming,testing,excellent,medium,cloud computing,cloud computing,job,Web Services,Management,yes,yes,Portal Administrator
1017,77,68,76,67,82,72,86,71,10,9,0,4,4,yes,yes,yes,r programming,system designing,excellent,poor,networks,security,job,Sales and Marketing,Technical,yes,yes,Design & UX
1018,77,66,83,91,63,61,83,82,7,9,0,9,7,no,yes,no,app development,data science,poor,medium,Computer Architecture,security,job,SAaS services,Management,yes,no,Applications Developer
1019,63,80,78,75,80,74,88,69,7,5,2,3,7,no,yes,yes,r programming,testing,medium,excellent,hacking,developer,higherstudies,Finance,Management,yes,no,CRM Technical Developer
1020,91,80,76,77,62,90,67,77,5,7,3,4,3,yes,yes,no,python,data science,excellent,excellent,Software Engineering,developer,higherstudies,Cloud Services,Technical,yes,yes,Database Developer
1021,68,60,67,72,83,60,87,77,12,3,3,2,4,yes,yes,yes,information security,data science,excellent,medium,networks,testing,higherstudies,BPA,Technical,no,no,Web Developer
1022,82,93,83,60,62,76,77,69,9,5,5,3,9,no,no,no,hadoop,hacking,poor,medium,cloud computing,system developer,higherstudies,Cloud Services,Management,yes,no,Information Technology Auditor
1023,86,63,87,83,60,71,88,94,8,7,0,6,4,yes,no,no,python,game development,poor,medium,parallel computing,cloud computing,higherstudies,Sales and Marketing,Technical,yes,yes,Solutions Architect
1024,70,80,91,65,61,64,86,70,9,3,3,9,4,no,no,no,python,system designing,poor,poor,data engineering,testing,higherstudies,BPA,Technical,yes,no,Software Developer
1025,77,82,71,71,73,82,76,81,8,2,2,2,5,no,yes,yes,distro making,database security,poor,poor,networks,system developer,job,Finance,Technical,no,no,Software Engineer
1026,70,94,76,80,86,87,86,76,6,4,1,3,7,yes,no,no,distro making,data science,poor,medium,hacking,system developer,higherstudies,Testing and Maintainance Services,Management,yes,no,Business Intelligence Analyst
1027,83,64,87,83,86,87,86,61,4,2,3,6,1,no,no,yes,full stack,cloud computing,poor,medium,Computer Architecture,system developer,job,Sales and Marketing,Management,yes,yes,Network Security Administrator
1028,91,78,94,87,80,73,93,77,12,2,3,2,5,no,yes,no,hadoop,database security,poor,poor,Computer Architecture,developer,job,SAaS services,Management,no,yes,Information Technology Manager
1029,94,84,77,80,67,75,81,75,4,2,3,3,3,no,yes,yes,r programming,database security,medium,excellent,networks,cloud computing,higherstudies,Sales and Marketing,Technical,no,no,Design & UX
1030,89,90,70,78,82,64,81,65,9,5,6,4,8,no,yes,no,app development,cloud computing,medium,medium,data engineering,security,job,SAaS services,Technical,yes,yes,Information Technology Auditor
1031,63,63,60,81,72,72,74,90,10,3,5,6,9,no,yes,no,full stack,data science,medium,medium,Software Engineering,cloud computing,higherstudies,product development,Management,yes,yes,Database Administrator
1032,66,72,93,67,72,79,75,91,7,4,3,5,4,no,no,yes,python,cloud computing,excellent,excellent,IOT,security,job,Web Services,Technical,yes,no,CRM Business Analyst
1033,62,60,70,79,81,93,84,64,7,6,4,8,2,yes,no,yes,information security,game development,medium,poor,networks,testing,higherstudies,Cloud Services,Management,yes,yes,Software Developer
1034,88,80,76,70,93,90,93,77,6,6,6,4,8,no,yes,no,python,testing,poor,medium,programming,cloud computing,higherstudies,Sales and Marketing,Management,no,no,Information Security Analyst
1035,63,81,72,71,71,63,65,68,7,7,1,9,6,yes,no,yes,machine learning,database security,excellent,excellent,parallel computing,cloud computing,job,Cloud Services,Technical,no,no,Technical Services/Help Desk/Tech Support
1036,89,89,84,86,66,63,64,77,8,6,6,9,6,no,no,yes,information security,testing,medium,poor,parallel computing,developer,job,Service Based,Management,yes,yes,Business Systems Analyst
1037,66,87,71,70,60,66,82,71,4,9,0,9,4,no,no,yes,information security,game development,poor,medium,Management,Business process analyst,higherstudies,product development,Management,no,no,Network Security Administrator
1038,74,90,87,83,91,73,82,90,4,7,4,9,8,no,no,yes,distro making,hacking,excellent,poor,cloud computing,testing,job,BPA,Technical,yes,no,Mobile Applications Developer
1039,90,62,76,75,87,63,86,80,12,1,2,5,4,yes,yes,yes,hadoop,game development,excellent,poor,data engineering,Business process analyst,higherstudies,Web Services,Management,yes,no,Applications Developer
1040,85,91,71,82,69,72,93,88,8,3,6,4,1,no,no,yes,r programming,database security,medium,excellent,networks,system developer,job,BPA,Technical,yes,no,Systems Security Administrator
1041,87,75,91,90,75,66,89,79,5,4,0,3,1,no,yes,yes,information security,testing,poor,poor,IOT,Business process analyst,job,BPA,Management,yes,no,Project Manager
1042,66,67,62,71,63,89,73,75,8,2,3,2,8,yes,no,no,machine learning,game development,excellent,poor,hacking,developer,job,Product based,Management,no,no,CRM Business Analyst
1043,94,89,89,82,86,71,93,75,8,5,2,9,8,no,no,no,distro making,testing,excellent,medium,data engineering,cloud computing,higherstudies,Cloud Services,Management,no,no,Business Intelligence Analyst
1044,68,77,78,64,77,60,86,68,6,9,2,6,2,no,yes,no,distro making,web technologies,medium,excellent,Computer Architecture,Business process analyst,job,Web Services,Technical,yes,no,Network Engineer
1045,64,78,72,88,85,80,81,75,9,5,3,8,4,yes,no,no,information security,system designing,excellent,medium,data engineering,system developer,job,Product based,Management,yes,yes,Database Manager
1046,60,69,86,69,92,61,72,93,6,5,1,2,5,no,yes,no,python,database security,excellent,poor,Computer Architecture,system developer,job,Product based,Management,yes,yes,Software Engineer
1047,61,67,83,89,85,60,83,65,7,3,1,2,6,no,no,yes,r programming,hacking,poor,poor,hacking,testing,job,product development,Management,no,no,UX Designer
1048,82,61,68,81,77,89,74,66,12,5,1,3,9,yes,no,yes,r programming,data science,medium,medium,data engineering,cloud computing,job,BPA,Management,no,no,Web Developer
1049,79,93,78,93,76,67,80,85,12,6,0,3,8,no,no,no,machine learning,system designing,poor,medium,Computer Architecture,cloud computing,higherstudies,Testing and Maintainance Services,Management,yes,yes,Software Developer
1050,87,88,80,94,78,64,85,62,12,5,3,3,4,yes,yes,yes,full stack,system designing,excellent,excellent,cloud computing,system developer,job,Web Services,Technical,yes,yes,CRM Business Analyst
1051,68,80,91,81,64,87,93,93,4,3,4,9,4,yes,no,no,distro making,game development,excellent,medium,Computer Architecture,security,job,Testing and Maintainance Services,Technical,yes,no,Project Manager
1052,77,82,91,92,74,77,66,86,4,4,5,4,1,yes,yes,no,machine learning,testing,poor,excellent,hacking,security,job,Cloud Services,Technical,no,no,Business Systems Analyst
1053,71,92,63,94,67,92,79,60,9,4,6,8,4,yes,no,yes,hadoop,hacking,medium,excellent,parallel computing,security,job,Finance,Technical,no,no,Business Systems Analyst
1054,91,84,70,69,81,92,90,64,9,5,2,5,3,no,no,no,python,database security,medium,excellent,networks,testing,higherstudies,Testing and Maintainance Services,Management,no,yes,Network Security Administrator
1055,86,89,79,63,92,77,85,79,12,8,2,4,1,no,no,no,app development,testing,medium,excellent,hacking,cloud computing,job,SAaS services,Technical,yes,yes,Systems Security Administrator
1056,91,92,60,74,71,73,93,85,4,3,0,8,7,no,yes,yes,app development,database security,poor,poor,hacking,testing,higherstudies,Testing and Maintainance Services,Technical,yes,no,Solutions Architect
1057,68,94,71,63,64,69,82,63,11,9,4,9,9,yes,yes,yes,hadoop,cloud computing,excellent,excellent,parallel computing,cloud computing,higherstudies,SAaS services,Technical,yes,yes,Programmer Analyst
1058,89,77,78,90,90,67,61,83,10,8,4,5,9,no,no,yes,information security,system designing,poor,poor,IOT,developer,job,Sales and Marketing,Technical,yes,no,Information Technology Auditor
1059,71,61,70,76,66,76,87,64,12,3,5,9,3,yes,yes,yes,information security,game development,poor,medium,Computer Architecture,cloud computing,job,Service Based,Technical,yes,yes,Technical Support
1060,92,66,70,64,89,78,83,86,12,4,0,3,5,no,no,no,machine learning,testing,excellent,excellent,IOT,cloud computing,job,Testing and Maintainance Services,Technical,no,yes,Software Engineer
1061,83,64,61,92,75,93,82,74,6,6,0,2,7,no,yes,yes,r programming,game development,excellent,excellent,hacking,Business process analyst,higherstudies,BPA,Management,no,yes,Applications Developer
1062,89,87,74,65,77,86,77,86,7,6,4,6,4,no,yes,no,distro making,data science,excellent,medium,Management,security,higherstudies,Product based,Management,yes,yes,UX Designer
1063,66,94,86,60,80,66,64,75,9,9,5,2,5,yes,no,no,hadoop,hacking,medium,poor,IOT,developer,higherstudies,Finance,Technical,no,yes,Quality Assurance Associate
1064,89,83,92,93,74,73,61,80,8,5,2,3,7,yes,yes,yes,r programming,hacking,poor,poor,Management,cloud computing,job,BPA,Management,yes,no,Portal Administrator
1065,73,87,73,60,85,92,76,81,7,1,2,9,1,no,yes,no,full stack,hacking,excellent,poor,programming,cloud computing,higherstudies,Web Services,Management,yes,yes,Database Manager
1066,76,69,81,91,82,82,69,74,7,5,2,5,3,no,yes,yes,app development,game development,excellent,excellent,data engineering,system developer,higherstudies,Finance,Management,no,no,Software Systems Engineer
1067,75,84,67,64,62,60,77,91,10,1,4,2,1,yes,yes,yes,python,cloud computing,medium,medium,networks,developer,job,Service Based,Technical,yes,yes,Network Security Engineer
1068,86,79,80,91,64,93,92,79,9,8,0,6,4,no,yes,no,shell programming,web technologies,poor,poor,networks,cloud computing,higherstudies,product development,Management,no,yes,Software Developer
1069,69,67,61,91,77,68,72,85,4,6,4,8,4,no,yes,no,distro making,data science,excellent,medium,IOT,security,job,Finance,Technical,yes,no,Technical Services/Help Desk/Tech Support
1070,66,88,81,88,64,73,67,71,5,2,0,4,1,no,no,yes,machine learning,hacking,medium,medium,Software Engineering,system developer,higherstudies,Product based,Management,yes,yes,Information Technology Manager
1071,66,94,87,65,66,88,83,73,4,1,3,2,8,yes,no,no,r programming,hacking,poor,excellent,IOT,testing,higherstudies,BPA,Technical,yes,no,Data Architect
1072,69,89,75,91,64,67,65,60,5,3,5,8,1,yes,no,yes,app development,cloud computing,medium,poor,IOT,Business process analyst,higherstudies,Service Based,Technical,no,no,Design & UX
1073,60,60,62,83,73,63,92,70,6,6,4,1,7,yes,no,no,machine learning,cloud computing,excellent,medium,networks,system developer,higherstudies,product development,Management,no,no,Database Developer
1074,80,84,73,90,90,77,90,81,5,6,5,7,4,no,yes,yes,r programming,database security,excellent,poor,networks,cloud computing,higherstudies,SAaS services,Technical,no,no,Project Manager
1075,87,81,70,88,85,92,89,63,10,6,2,6,5,yes,yes,no,machine learning,hacking,medium,medium,IOT,testing,job,Sales and Marketing,Technical,no,yes,Technical Engineer
1076,61,61,94,82,76,78,88,61,5,9,5,3,5,yes,yes,yes,full stack,data science,excellent,excellent,hacking,testing,higherstudies,SAaS services,Management,no,no,Design & UX
1077,61,87,61,85,79,62,86,67,6,8,2,3,7,yes,yes,no,hadoop,system designing,excellent,medium,data engineering,security,higherstudies,Testing and Maintainance Services,Technical,no,yes,Project Manager
1078,78,87,62,70,69,77,78,77,5,7,0,5,6,no,no,yes,distro making,cloud computing,poor,medium,parallel computing,security,job,SAaS services,Technical,no,yes,Quality Assurance Associate
1079,82,87,93,91,78,62,85,61,4,3,5,6,5,yes,yes,yes,shell programming,cloud computing,medium,poor,cloud computing,cloud computing,higherstudies,Service Based,Technical,yes,yes,Data Architect
1080,72,84,80,63,73,66,76,82,6,3,6,9,8,yes,no,no,app development,system designing,excellent,excellent,Computer Architecture,developer,higherstudies,Finance,Technical,yes,no,Network Security Administrator
1081,81,71,61,68,65,62,88,82,6,4,5,1,4,no,yes,yes,r programming,database security,medium,excellent,programming,security,job,SAaS services,Technical,yes,no,Technical Services/Help Desk/Tech Support
1082,90,73,94,78,81,79,68,80,10,3,2,1,7,no,no,yes,python,game development,poor,excellent,data engineering,cloud computing,job,Cloud Services,Technical,no,yes,Solutions Architect
1083,75,94,72,73,82,60,74,73,7,3,0,7,7,no,no,yes,app development,cloud computing,medium,excellent,parallel computing,Business process analyst,higherstudies,Product based,Management,yes,yes,Web Developer
1084,87,67,79,61,87,81,74,91,10,3,0,5,1,yes,no,yes,r programming,web technologies,poor,poor,networks,system developer,higherstudies,BPA,Technical,no,no,Systems Security Administrator
1085,68,64,78,60,83,74,76,81,5,5,6,1,3,yes,yes,yes,shell programming,system designing,excellent,excellent,parallel computing,developer,higherstudies,SAaS services,Technical,yes,yes,Systems Security Administrator
1086,89,87,64,78,74,75,60,69,5,3,5,6,6,yes,no,no,information security,web technologies,poor,poor,cloud computing,testing,job,product development,Management,no,no,Systems Analyst
1087,74,72,92,76,68,94,89,74,11,3,3,1,7,yes,no,yes,r programming,testing,excellent,poor,data engineering,cloud computing,higherstudies,Cloud Services,Technical,yes,no,Database Manager
1088,85,67,81,84,89,85,86,76,12,2,1,7,5,no,no,yes,full stack,system designing,excellent,poor,IOT,testing,higherstudies,SAaS services,Management,no,no,Network Engineer
1089,69,72,90,92,66,94,83,63,4,2,1,6,7,no,yes,no,shell programming,cloud computing,poor,medium,IOT,Business process analyst,higherstudies,product development,Technical,no,yes,UX Designer
1090,81,88,79,71,73,70,68,89,12,5,1,7,8,yes,no,yes,full stack,database security,medium,excellent,networks,testing,higherstudies,product development,Technical,no,no,Technical Support
1091,91,67,83,75,92,72,87,81,12,9,0,4,6,no,no,no,hadoop,system designing,poor,poor,parallel computing,developer,job,Testing and Maintainance Services,Technical,no,yes,Business Systems Analyst
1092,90,63,81,60,74,80,62,64,6,1,0,9,4,yes,yes,yes,r programming,testing,excellent,poor,IOT,security,job,Cloud Services,Management,no,yes,Technical Support
1093,88,79,66,79,65,86,92,79,8,8,3,1,9,no,yes,yes,shell programming,system designing,poor,poor,programming,Business process analyst,job,BPA,Management,yes,no,Software Quality Assurance (QA) / Testing
1094,89,64,61,72,92,68,91,70,8,2,1,5,4,yes,yes,no,python,game development,poor,poor,cloud computing,Business process analyst,job,BPA,Management,yes,no,Quality Assurance Associate
1095,76,89,91,67,82,84,78,93,7,7,1,6,6,yes,no,no,app development,cloud computing,excellent,excellent,networks,security,job,product development,Management,yes,no,Applications Developer
1096,78,87,94,89,64,71,77,87,10,5,1,2,6,no,yes,no,distro making,cloud computing,excellent,excellent,hacking,security,job,product development,Technical,yes,no,Software Developer
1097,92,93,71,84,70,60,91,76,12,3,4,3,3,no,yes,no,information security,cloud computing,poor,poor,Computer Architecture,Business process analyst,higherstudies,product development,Management,yes,yes,Database Developer
1098,91,91,89,94,72,80,77,66,8,8,1,5,1,yes,no,no,app development,game development,poor,medium,networks,developer,higherstudies,Cloud Services,Management,no,no,Technical Services/Help Desk/Tech Support
1099,86,77,89,80,80,69,69,81,7,1,1,1,5,no,no,no,full stack,hacking,medium,poor,programming,Business process analyst,job,Finance,Technical,yes,no,Business Intelligence Analyst
1100,92,75,90,64,77,60,86,68,12,6,5,1,4,yes,no,yes,distro making,database security,excellent,poor,hacking,Business process analyst,job,SAaS services,Technical,yes,yes,Database Developer
1101,83,85,72,61,82,91,86,61,11,8,3,4,6,no,no,yes,app development,database security,medium,medium,networks,system developer,job,Cloud Services,Management,no,no,Systems Analyst
1102,85,61,93,75,62,90,77,79,10,4,3,9,9,no,yes,no,r programming,hacking,medium,medium,data engineering,system developer,higherstudies,Product based,Technical,no,yes,Network Engineer
1103,80,86,85,72,89,90,91,69,6,1,2,5,6,no,yes,yes,machine learning,game development,poor,excellent,cloud computing,security,higherstudies,Cloud Services,Technical,yes,no,Design & UX
1104,77,70,84,85,93,91,70,82,4,8,4,5,6,yes,no,yes,hadoop,cloud computing,medium,medium,data engineering,testing,higherstudies,Service Based,Management,no,yes,Mobile Applications Developer
1105,83,86,69,84,90,71,80,70,11,7,4,3,8,yes,yes,no,python,hacking,medium,excellent,parallel computing,developer,job,Finance,Technical,yes,no,Network Engineer
1106,89,74,66,81,63,75,87,76,4,4,4,6,3,no,no,yes,shell programming,game development,poor,excellent,Management,developer,job,Cloud Services,Technical,no,yes,E-Commerce Analyst
1107,94,93,61,75,74,82,61,79,7,9,4,7,1,yes,yes,no,shell programming,game development,poor,poor,Computer Architecture,security,higherstudies,product development,Management,no,yes,E-Commerce Analyst
1108,70,64,80,81,68,78,66,66,12,8,3,8,6,no,no,yes,r programming,data science,poor,medium,data engineering,cloud computing,job,Product based,Technical,yes,no,E-Commerce Analyst
1109,64,85,85,65,66,93,90,70,12,4,3,4,3,yes,yes,no,information security,hacking,medium,poor,hacking,Business process analyst,job,Cloud Services,Management,yes,yes,Software Engineer
1110,70,84,63,68,81,63,79,61,12,4,6,6,4,no,no,no,information security,cloud computing,excellent,medium,hacking,Business process analyst,higherstudies,Service Based,Management,yes,yes,Network Security Administrator
1111,70,65,66,80,76,74,81,79,8,3,3,4,9,no,no,no,full stack,web technologies,poor,poor,networks,security,job,Finance,Management,yes,yes,Project Manager
1112,78,60,72,75,86,65,86,72,4,1,1,2,4,yes,no,no,app development,game development,excellent,poor,networks,security,job,SAaS services,Management,no,no,E-Commerce Analyst
1113,84,87,83,85,90,86,61,86,5,3,5,2,6,no,no,yes,r programming,system designing,medium,poor,data engineering,security,job,product development,Management,yes,yes,Software Developer
1114,81,75,81,92,89,77,77,65,8,2,1,3,5,no,yes,no,app development,testing,medium,medium,data engineering,system developer,higherstudies,Sales and Marketing,Management,no,no,Software Quality Assurance (QA) / Testing
1115,77,67,69,86,90,67,89,90,6,6,1,2,7,yes,yes,no,machine learning,web technologies,medium,excellent,parallel computing,security,higherstudies,Service Based,Technical,yes,yes,Technical Engineer
1116,70,77,60,88,76,67,93,91,12,7,3,2,1,no,no,no,app development,database security,medium,poor,Software Engineering,testing,higherstudies,Cloud Services,Technical,no,yes,Technical Support
1117,60,85,72,79,70,67,81,75,10,1,4,9,3,yes,no,yes,information security,web technologies,excellent,excellent,programming,cloud computing,job,Cloud Services,Management,no,yes,Web Developer
1118,86,75,80,80,94,75,82,79,12,6,6,9,4,yes,no,no,full stack,cloud computing,medium,poor,networks,cloud computing,job,Web Services,Management,yes,yes,Data Architect
1119,70,63,82,77,69,73,71,70,10,5,0,5,7,yes,yes,yes,app development,cloud computing,medium,medium,Software Engineering,cloud computing,higherstudies,product development,Management,yes,yes,Database Administrator
1120,67,89,69,84,90,71,79,78,11,3,3,7,6,no,yes,yes,full stack,game development,poor,poor,IOT,Business process analyst,job,SAaS services,Technical,no,yes,Technical Services/Help Desk/Tech Support
1121,61,78,73,64,82,90,94,61,9,7,2,1,6,yes,yes,yes,distro making,system designing,excellent,poor,Management,system developer,job,Service Based,Technical,no,yes,Business Systems Analyst
1122,78,61,76,79,65,77,85,76,9,6,6,9,9,no,yes,yes,app development,system designing,excellent,poor,programming,Business process analyst,job,Service Based,Management,yes,no,Technical Support
1123,60,77,86,60,60,61,77,68,12,7,0,4,7,yes,yes,yes,shell programming,testing,excellent,poor,networks,security,job,Web Services,Technical,yes,yes,Database Developer
1124,91,69,75,86,64,85,80,75,6,4,3,5,2,yes,yes,yes,machine learning,hacking,excellent,medium,hacking,cloud computing,higherstudies,Cloud Services,Technical,no,yes,Software Engineer
1125,60,64,80,76,81,68,82,93,5,6,2,4,2,no,yes,yes,app development,system designing,excellent,poor,parallel computing,cloud computing,job,Service Based,Technical,no,yes,CRM Business Analyst
1126,78,87,80,82,71,82,81,89,12,3,6,3,8,yes,no,yes,full stack,database security,excellent,medium,programming,testing,job,Sales and Marketing,Management,yes,yes,Software Systems Engineer
1127,85,92,94,76,79,77,85,86,6,2,2,6,2,no,yes,yes,information security,database security,poor,poor,programming,cloud computing,job,BPA,Technical,yes,yes,Technical Services/Help Desk/Tech Support
1128,86,63,77,81,89,68,66,70,6,5,0,6,9,yes,no,yes,r programming,database security,poor,medium,IOT,developer,job,Web Services,Technical,no,no,CRM Business Analyst
1129,82,63,72,74,69,94,65,74,8,2,1,4,9,yes,no,no,app development,system designing,poor,medium,networks,security,higherstudies,Service Based,Technical,no,no,Software Engineer
1130,63,83,84,77,63,76,60,80,7,3,1,3,9,no,yes,no,app development,system designing,excellent,poor,hacking,Business process analyst,higherstudies,Web Services,Management,no,yes,Design & UX
1131,93,64,61,63,62,91,68,91,12,5,3,6,9,no,yes,yes,shell programming,game development,poor,excellent,hacking,testing,higherstudies,Sales and Marketing,Technical,no,yes,Business Intelligence Analyst
1132,60,68,89,79,78,77,82,93,12,9,2,5,5,yes,no,no,shell programming,testing,medium,excellent,cloud computing,system developer,higherstudies,Sales and Marketing,Technical,no,yes,UX Designer
1133,71,79,78,67,61,68,83,81,6,8,3,4,5,yes,no,yes,distro making,game development,excellent,medium,parallel computing,security,higherstudies,Service Based,Technical,no,no,Technical Engineer
1134,65,65,70,83,82,83,65,73,6,8,2,3,6,no,yes,no,information security,hacking,medium,excellent,IOT,security,job,Sales and Marketing,Technical,no,yes,Programmer Analyst
1135,66,71,78,92,66,74,64,65,7,3,4,1,1,no,no,yes,distro making,system designing,poor,poor,programming,testing,job,SAaS services,Technical,yes,no,Design & UX
1136,92,90,82,66,75,70,78,94,4,5,6,3,4,no,no,no,machine learning,cloud computing,medium,poor,parallel computing,Business process analyst,job,product development,Technical,yes,yes,Quality Assurance Associate
1137,62,72,68,91,74,86,90,77,6,6,6,9,4,no,yes,no,app development,cloud computing,excellent,poor,programming,security,higherstudies,Product based,Management,yes,yes,Network Security Administrator
1138,70,71,60,83,69,91,92,91,6,3,1,4,3,yes,yes,no,r programming,cloud computing,poor,poor,cloud computing,Business process analyst,job,Testing and Maintainance Services,Management,no,no,Technical Services/Help Desk/Tech Support
1139,87,91,62,85,93,63,68,72,7,3,5,4,7,yes,no,yes,distro making,web technologies,excellent,excellent,Computer Architecture,security,higherstudies,Cloud Services,Technical,no,yes,Mobile Applications Developer
1140,88,84,66,72,82,65,72,71,12,7,0,1,1,no,yes,yes,app development,game development,excellent,excellent,parallel computing,developer,higherstudies,Product based,Technical,yes,yes,Network Security Administrator
1141,94,61,94,89,87,71,66,92,9,2,6,6,8,no,no,no,hadoop,testing,medium,medium,data engineering,security,job,product development,Technical,no,yes,CRM Business Analyst
1142,79,82,90,68,70,82,65,79,12,4,6,8,8,yes,no,no,r programming,data science,medium,excellent,Software Engineering,cloud computing,job,Testing and Maintainance Services,Management,no,yes,Web Developer
1143,79,64,62,89,84,84,68,69,10,2,0,3,8,no,no,no,python,hacking,poor,poor,hacking,developer,job,Web Services,Technical,yes,yes,Network Security Administrator
1144,85,66,79,83,86,88,82,84,7,6,0,8,1,yes,no,no,r programming,data science,poor,poor,Management,developer,higherstudies,Web Services,Technical,yes,no,Network Security Administrator
1145,80,94,79,68,62,90,65,78,4,8,4,7,7,no,yes,yes,machine learning,game development,poor,medium,Management,testing,job,Cloud Services,Management,yes,yes,Solutions Architect
1146,89,83,94,83,71,71,81,85,4,1,2,2,2,no,yes,yes,python,game development,excellent,medium,parallel computing,security,job,Web Services,Technical,yes,yes,CRM Technical Developer
1147,60,86,77,88,63,68,88,87,6,8,3,2,7,no,yes,yes,information security,testing,medium,poor,programming,system developer,job,Sales and Marketing,Management,yes,yes,Technical Services/Help Desk/Tech Support
1148,94,73,64,76,80,71,60,73,10,1,2,9,2,yes,yes,no,information security,web technologies,poor,medium,IOT,Business process analyst,job,BPA,Management,no,yes,Mobile Applications Developer
1149,86,69,77,67,60,66,66,61,10,3,4,1,5,yes,yes,yes,full stack,database security,poor,excellent,hacking,Business process analyst,higherstudies,BPA,Management,yes,no,Data Architect
1150,74,66,91,64,90,65,75,71,7,1,1,8,1,yes,yes,yes,r programming,database security,excellent,medium,Software Engineering,developer,job,SAaS services,Technical,yes,no,Database Administrator
1151,77,77,89,81,84,67,89,92,12,1,1,6,2,no,no,no,full stack,data science,excellent,excellent,cloud computing,security,higherstudies,SAaS services,Technical,no,no,Portal Administrator
